,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,31.27,71,0,5.14,US,1662853254
1,mitsamiouli,-11.3847,43.2844,23.87,71,10,2.72,KM,1662853255
2,fayaoue,-20.65,166.5333,24.59,81,2,2.58,NC,1662853256
3,east london,-33.0153,27.9116,18.7,85,97,3.36,ZA,1662853256
4,mataura,-46.1927,168.8643,12.77,50,3,1.64,NZ,1662853257
5,kahului,20.8947,-156.47,32.01,65,40,10.8,US,1662853258
6,rikitea,-23.1203,-134.9692,22.61,73,3,4.9,PF,1662853259
7,belyy yar,53.6039,91.3903,3.94,87,0,1,RU,1662853260
8,goundam,16.4145,-3.6708,33.18,37,58,3.55,ML,1662853260
9,kapaa,22.0752,-159.319,28.99,74,0,4.12,US,1662853261
10,albany,42.6001,-73.9662,23.13,78,82,0.95,US,1662853262
11,tasiilaq,65.6145,-37.6368,4.09,80,14,0.08,GL,1662853263
12,longyearbyen,78.2186,15.6401,-0.09,69,40,5.66,SJ,1662852985
13,carnarvon,-24.8667,113.6333,18.78,57,0,3.47,AU,1662853264
14,ponta do sol,32.6667,-17.1,25,81,97,2.85,PT,1662853265
15,avarua,-21.2078,-159.775,27.03,78,20,7.72,CK,1662853265
16,zalantun,48,122.7167,23.45,35,100,0.88,CN,1662853266
17,port alfred,-33.5906,26.891,15.66,91,88,2.68,ZA,1662853267
18,sterling,39.0062,-77.4286,25.16,77,100,2.68,US,1662853267
19,guerrero negro,27.9769,-114.0611,28.71,59,17,5.06,MX,1662853268
20,lebu,-37.6167,-73.65,9.27,90,0,6.15,CL,1662853270
21,kavaratti,10.5669,72.642,26.83,81,100,9.15,IN,1662853270
22,souillac,-20.5167,57.5167,21.21,78,40,4.12,MU,1662853271
23,dikson,73.5069,80.5464,2.32,80,100,4.67,RU,1662853272
24,mexicali,32.6519,-115.4683,30.12,49,98,1.15,MX,1662853196
25,tucurui,-3.7661,-49.6725,29.27,41,62,1.05,BR,1662853273
26,canavieiras,-15.675,-38.9472,20.3,75,2,2.15,BR,1662853273
27,praia da vitoria,38.7333,-27.0667,22.64,78,75,8.3,PT,1662853274
28,saint george,37.1041,-113.5841,24.33,53,0,1.54,US,1662853274
29,rawson,-43.3002,-65.1023,12.55,44,0,4.32,AR,1662853276
30,vaini,-21.2,-175.2,26.09,78,75,4.12,TO,1662853276
31,vila velha,-20.3297,-40.2925,23.97,67,0,8.75,BR,1662853254
32,gerash,27.6652,54.1371,27.79,51,19,0.71,IR,1662853278
33,metro,-5.1131,105.3067,24.04,88,89,1.68,ID,1662853279
34,alihe,50.5667,123.7167,16.57,75,93,2.36,CN,1662853280
35,jalu,29.0331,21.5482,26.09,25,0,4.24,LY,1662853280
36,mar del plata,-38.0023,-57.5575,9.49,80,0,1.03,AR,1662853216
37,kaitangata,-46.2817,169.8464,12.79,57,4,3.35,NZ,1662853282
38,qaanaaq,77.484,-69.3632,3.21,97,100,3.86,GL,1662853282
39,mahebourg,-20.4081,57.7,21.16,78,40,4.12,MU,1662853283
40,hunucma,21.0167,-89.8667,26.72,91,92,2.11,MX,1662853283
41,arraial do cabo,-22.9661,-42.0278,20.95,93,48,11.65,BR,1662853284
42,ushuaia,-54.8,-68.3,5.81,52,0,1.03,AR,1662853285
43,bredasdorp,-34.5322,20.0403,11.79,80,1,4.87,ZA,1662853285
44,vangaindrano,-23.35,47.6,17.18,94,7,1.87,MG,1662853286
45,faya,18.3851,42.4509,20.06,35,84,1,SA,1662853287
46,busselton,-33.65,115.3333,12.31,85,7,1.31,AU,1662853167
47,synya,65.3718,58.0387,4.23,98,100,1.81,RU,1662853288
48,yellowknife,62.456,-114.3525,14.29,54,75,9.26,CA,1662853270
49,butaritari,3.0707,172.7902,27.33,73,4,5.06,KI,1662853289
50,mayo,38.8876,-76.5119,26.23,80,0,1.54,US,1662853073
51,new norfolk,-42.7826,147.0587,8.84,73,99,1.79,AU,1662853292
52,khatanga,71.9667,102.5,0.04,92,100,4.09,RU,1662853293
53,ginda,30.6945,78.4932,16.95,92,68,1.03,IN,1662853293
54,port elizabeth,-33.918,25.5701,15.17,93,20,9.26,ZA,1662853295
55,ribeira grande,38.5167,-28.7,22.71,73,100,12.33,PT,1662853295
56,weligama,5.9667,80.4167,24.86,88,88,4.71,LK,1662853296
57,magdagachi,53.45,125.8,10.32,61,100,2.83,RU,1662853297
58,pacific grove,36.6177,-121.9166,26.88,75,20,2.06,US,1662853297
59,cape town,-33.9258,18.4232,15.21,87,23,0.89,ZA,1662853214
60,silvassa,20.2667,73.0167,25.05,95,100,0.8,IN,1662853298
61,rosario,-32.9468,-60.6393,14.5,32,0,0.51,AR,1662853275
62,lugovoy,42.9472,72.7644,18.73,52,73,4.79,KZ,1662853300
63,ostrovnoy,68.0531,39.5131,8.39,85,97,5.18,RU,1662853300
64,tilichiki,60.4667,166.1,11.52,78,97,3.32,RU,1662853301
65,bukama,-9.2,25.85,25.24,39,30,0.56,CD,1662853302
66,barcelos,41.5388,-8.6151,20.47,86,0,1.09,PT,1662853172
67,saint-philippe,-21.3585,55.7679,17.77,73,47,4.2,RE,1662853303
68,linxia,35.6003,103.2064,13.84,56,29,1.68,CN,1662853304
69,punta arenas,-53.15,-70.9167,4.06,75,0,3.09,CL,1662853290
70,kaseda,31.4167,130.3167,27.39,74,50,3.73,JP,1662853305
71,vardo,70.3705,31.1107,8.99,81,100,4.12,NO,1662853305
72,dingle,10.9995,122.6711,26.97,80,82,1.98,PH,1662853306
73,nanortalik,60.1432,-45.2371,6.67,78,44,3.62,GL,1662853306
74,bluff,-46.6,168.3333,9.56,67,3,1.44,NZ,1662853307
75,mahibadhoo,3.7833,72.9667,27.21,80,42,6.07,MV,1662853308
76,saint-joseph,-21.3667,55.6167,17.21,72,52,2.98,RE,1662853308
77,papara,-3.9839,-38.7273,25.38,91,1,2.4,BR,1662853309
78,thompson,55.7435,-97.8558,16.09,48,75,5.14,CA,1662853309
79,hermanus,-34.4187,19.2345,11,83,13,5.43,ZA,1662853310
80,along,28.1667,94.7667,20.98,84,1,0.44,IN,1662853313
81,port blair,11.6667,92.75,26.02,89,40,1.03,IN,1662853313
82,petauke,-14.2426,31.3253,19.77,42,0,3.57,ZM,1662853314
83,esperance,-33.8667,121.9,12.67,83,96,4.08,AU,1662853315
84,olinda,-8.0089,-34.8553,22.85,83,75,5.14,BR,1662853315
85,srednekolymsk,67.45,153.6833,6.2,92,100,2.44,RU,1662853316
86,castro,-24.7911,-50.0119,15.52,97,18,3.25,BR,1662853317
87,kieta,-6.2167,155.6333,28.1,72,23,2,PG,1662853318
88,korla,41.7597,86.1469,24.81,22,1,5.51,CN,1662853318
89,vadinsk,53.6916,43.0574,6.22,69,37,1.49,RU,1662853320
90,puerto ayora,-0.7393,-90.3518,19.75,87,86,1.79,EC,1662853320
91,ayagoz,47.9714,80.4392,13.55,36,69,2.51,KZ,1662853321
92,hofn,64.2539,-15.2082,10.77,93,100,5.89,IS,1662853321
93,riyadh,24.6877,46.7219,30.08,19,5,1.73,SA,1662853304
94,gornyye klyuchi,45.25,133.5,18.13,60,100,1.71,RU,1662853323
95,almaznyy,48.0448,40.045,8.41,44,74,3.85,RU,1662853324
96,isangel,-19.55,169.2667,28.06,78,40,2.06,VU,1662853324
97,saskylakh,71.9167,114.0833,0.91,97,100,5.99,RU,1662853325
98,bengbu,32.9408,117.3608,22.04,68,0,2.15,CN,1662853326
99,viedma,-40.8135,-62.9967,9.14,47,0,4.49,AR,1662853327
100,coquimbo,-29.9533,-71.3436,12.85,76,100,2.57,CL,1662853258
101,kyle,29.9984,-97.8715,33.76,56,60,1.23,US,1662853328
102,calabozo,8.9242,-67.4293,27.13,70,96,1.21,VE,1662853329
103,port hardy,50.6996,-127.4199,17.1,72,20,2.57,CA,1662853329
104,vestmannaeyjar,63.4427,-20.2734,11.67,89,100,5.29,IS,1662853330
105,pisco,-13.7,-76.2167,17.03,72,0,7.72,PE,1662853330
106,xingtai,37.0631,114.4942,23.23,43,30,3.27,CN,1662853331
107,hobart,-42.8794,147.3294,10.7,90,95,3.26,AU,1662853033
108,port lincoln,-34.7333,135.8667,11.85,74,88,2.93,AU,1662853332
109,torbay,47.6666,-52.7314,14.21,94,100,15.65,CA,1662853334
110,hamilton,39.1834,-84.5333,24.48,78,0,5.66,US,1662853183
111,moose factory,51.2585,-80.6094,16,82,40,3.09,CA,1662853335
112,ilulissat,69.2167,-51.1,10.01,71,100,4.12,GL,1662853335
113,port huron,42.9709,-82.4249,26.1,58,0,5.66,US,1662853336
114,voznesenye,61.0106,35.4781,6.28,80,73,2.6,RU,1662853336
115,khorinsk,52.1657,109.7726,9.42,47,89,0.71,RU,1662853337
116,namatanai,-3.6667,152.4333,29.48,59,64,5.27,PG,1662853338
117,xihe,31.6864,113.4659,23.84,59,2,2.27,CN,1662853338
118,hearst,49.6835,-83.6665,15.14,82,97,0.24,CA,1662853339
119,hasaki,35.7333,140.8333,24.05,83,100,10.38,JP,1662853308
120,butembo,0.15,29.2833,12.81,89,20,1.3,CD,1662853341
121,tuktoyaktuk,69.4541,-133.0374,5,81,100,5.14,CA,1662853342
122,erdenet,49.0333,104.0833,8.46,92,59,1.15,MN,1662853343
123,sakiai,54.9547,23.0358,10.44,64,100,4.31,LT,1662853344
124,talara,-4.5772,-81.2719,17.08,88,77,8.41,PE,1662853344
125,charleston,32.7766,-79.9309,28.9,87,75,3.09,US,1662853345
126,japura,-0.3167,102.35,22.71,99,100,0.73,ID,1662853346
127,ulaangom,49.9811,92.0667,10.14,54,63,1.03,MN,1662853348
128,thiruvananthapuram,8.4833,76.9167,25.99,94,75,3.09,IN,1662853349
129,awbari,26.5921,12.7805,25.16,22,0,3.12,LY,1662853350
130,abha,18.2164,42.5053,19.9,24,0,2.57,SA,1662853268
131,never,46.9896,3.159,12.86,84,55,1.38,FR,1662853351
132,kabwe,-14.4469,28.4464,16.97,36,0,2.04,ZM,1662853352
133,clyde river,70.4692,-68.5914,4.13,93,100,1.54,CA,1662853353
134,husavik,66.0449,-17.3389,9.56,98,100,4.69,IS,1662853354
135,yiyang,28.5892,112.3283,24.07,62,88,2.86,CN,1662853112
136,bengkulu,-3.8004,102.2655,23.76,82,66,1.48,ID,1662853355
137,canakkale,40.0833,26.8333,16.32,52,2,1.12,TR,1662853355
138,grand gaube,-20.0064,57.6608,21.22,74,0,1.34,MU,1662853356
139,itarema,-2.9248,-39.9167,25.37,81,1,6.03,BR,1662853357
140,ahipara,-35.1667,173.1667,16.63,63,82,5.99,NZ,1662853357
141,lasa,46.6166,10.7002,14.49,93,80,2.36,IT,1662853358
142,saint anthony,45.0205,-93.218,21.69,47,0,5.14,US,1662853359
143,chokurdakh,70.6333,147.9167,5.36,87,100,2.74,RU,1662853359
